# Wireless Strength at 60 second intervals.
# Mon 09 Nov 2009 12:15:48 AM PST
2009.11.09-04:24:00	.65
2009.11.09-04:25:00	.32
2009.11.09-04:26:00	.34
2009.11.09-04:27:00	.65
2009.11.09-04:28:00	.67
2009.11.09-04:29:00	.34
2009.11.09-04:30:00	.34
2009.11.09-04:31:00	.67
2009.11.09-04:32:00	.34
2009.11.09-04:33:00	.32
2009.11.09-04:34:00	.67
2009.11.09-04:35:00	.65
2009.11.09-04:36:00	.67
2009.11.09-04:37:00	.34
2009.11.09-04:38:00	.67
2009.11.09-04:39:00	.67
2009.11.09-04:40:00	.34
2009.11.09-04:41:00	.34
2009.11.09-04:42:00	.65
2009.11.09-04:43:00	.65
2009.11.09-04:44:00	.32
2009.11.09-04:45:00	.34
2009.11.09-04:46:00	.65
2009.11.09-04:47:00	.32
2009.11.09-04:48:00	.67
2009.11.09-04:49:00	.67
2009.11.09-04:50:00	.67
2009.11.09-04:51:01	.65
2009.11.09-04:52:01	.34
2009.11.09-04:53:01	.65
2009.11.09-04:54:01	.67
2009.11.09-04:55:01	.34
2009.11.09-04:56:01	.65
2009.11.09-04:57:01	.67
2009.11.09-04:58:01	.34
2009.11.09-04:59:01	.34
2009.11.09-05:00:01	.65
2009.11.09-05:01:01	.67
2009.11.09-05:02:01	.34
2009.11.09-05:03:01	.34
2009.11.09-05:04:01	.65
2009.11.09-05:05:01	.65
2009.11.09-05:06:01	.34
2009.11.09-05:07:01	.65
2009.11.09-05:08:01	.67
2009.11.09-05:09:01	.34
2009.11.09-05:10:01	.34
2009.11.09-05:11:01	.67
2009.11.09-05:12:01	.67
2009.11.09-05:13:01	.65
2009.11.09-05:14:01	.34
